City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Santiago Del Estero,AR,2022-11-15 22:01:27,-27.7951,-64.2615,91.72,20,75,11.5
67,Saint George,US,2022-11-15 22:00:05,37.1041,-113.5841,54.43,25,0,8.99
68,Vila Do Maio,CV,2022-11-15 22:01:28,15.1333,-23.2167,75.99,73,50,11.23
69,Palmer,US,2022-11-15 22:01:28,42.1584,-72.3287,40.55,56,100,1.7
70,Cape Town,ZA,2022-11-15 22:01:29,-33.9258,18.4232,63.12,82,85,3.0
71,Qaqortoq,GL,2022-11-15 22:01:29,60.7167,-46.0333,23.67,89,100,2.39
72,Gualeguaychu,AR,2022-11-15 22:01:30,-33.0094,-58.5172,82.89,42,6,7.23
73,Lewiston,US,2022-11-15 22:01:29,44.1003,-70.2148,37.24,72,95,3.4
74,Maues,BR,2022-11-15 22:01:30,-3.3836,-57.7186,82.9,64,86,1.97
75,Brae,GB,2022-11-15 22:01:31,60.3964,-1.353,50.74,88,100,42.64
76,Talcahuano,CL,2022-11-15 22:01:32,-36.7167,-73.1167,59.72,82,0,12.86
77,Buchanan,LR,2022-11-15 22:01:32,5.8808,-10.0467,75.42,92,100,1.41
78,Lerwick,GB,2022-11-15 22:01:33,60.1545,-1.1494,51.8,88,100,46.48
79,Nanortalik,GL,2022-11-15 22:01:33,60.1432,-45.2371,28.24,81,100,16.13
80,Bay Roberts,CA,2022-11-15 22:01:34,47.5999,-53.2648,37.51,74,100,3.0
81,Bayonet Point,US,2022-11-15 22:01:34,28.3267,-82.6834,79.36,80,99,1.01
82,Hermanus,ZA,2022-11-15 22:01:34,-34.4187,19.2345,61.81,84,99,6.17
83,Ribeira Grande,PT,2022-11-15 22:01:35,38.5167,-28.7,66.78,92,26,14.0
84,Avarua,CK,2022-11-15 22:01:35,-21.2078,-159.775,77.05,65,40,16.11
85,Durham,US,2022-11-15 22:00:32,36.0335,-78.8664,52.48,93,100,3.44
86,Sechura,PE,2022-11-15 22:01:36,-5.5569,-80.8222,69.35,67,100,18.37
87,Alma,CA,2022-11-15 22:00:09,48.5501,-71.6491,25.23,80,95,2.01
88,Bonnyville,CA,2022-11-15 21:57:46,54.2668,-110.735,34.92,85,39,10.71
89,Bethel,US,2022-11-15 22:01:37,41.3712,-73.414,42.55,58,100,1.99
90,Cayenne,GF,2022-11-15 21:59:01,4.9333,-52.3333,82.44,74,0,6.91
91,Mattru,SL,2022-11-15 22:01:38,7.6244,-11.8332,74.55,94,100,1.28
92,Traverse City,US,2022-11-15 21:59:27,44.7631,-85.6206,34.34,99,100,1.99
93,Caronport,CA,2022-11-15 22:01:38,50.4501,-105.8179,18.59,94,100,3.58
94,Cabo San Lucas,MX,2022-11-15 21:58:30,22.8909,-109.9124,84.61,68,11,1.99
95,Saint-Pierre,RE,2022-11-15 22:00:25,-21.3393,55.4781,69.91,56,0,9.22
96,Muana,BR,2022-11-15 22:02:39,-1.5283,-49.2167,78.94,77,65,4.14
97,Oil City,US,2022-11-15 22:02:39,41.4339,-79.7064,33.37,97,100,6.91
98,Bennettsville,US,2022-11-15 22:02:40,34.6174,-79.6848,60.62,94,100,0.0
99,Mina,MX,2022-11-15 22:02:40,26.0011,-100.5299,65.61,39,1,11.68
100,Lincoln,US,2022-11-15 22:00:31,40.8,-96.667,36.18,61,100,7.0
101,Morden,CA,2022-11-15 22:02:41,49.1919,-98.1014,22.84,94,36,8.39
102,Nome,US,2022-11-15 22:02:41,64.5011,-165.4064,21.16,84,100,16.26
103,Angleton,US,2022-11-15 22:02:42,29.1694,-95.4319,55.94,60,0,16.11
104,Accra,GH,2022-11-15 22:02:42,5.556,-0.1969,81.1,77,57,8.23
