City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
527,Vila Franca Do Campo,PT,61.2,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
528,Malmesbury,ZA,60.78,overcast clouds,-33.4608,18.7271,SuNel's Guest Rooms
529,Anloga,GH,81.19,clear sky,5.7947,0.8973,Pin Drop Hotel
530,Jimma,ET,60.64,broken clouds,7.6667,36.8333,Jimma Central Hotel
531,Sfantu Gheorghe,RO,54.57,overcast clouds,45.8667,25.7833,Hotel Park
532,Kota Tinggi,MY,82.44,light rain,1.7381,103.8999,Canopy Tribe
536,Samarai,PG,82.6,overcast clouds,-10.6167,150.6667,Nuli Sapi
537,Americo Brasiliense,BR,85.08,scattered clouds,-21.7244,-48.1017,Santuário da Fé
538,Aboso,GH,75.31,few clouds,5.3617,-1.9473,New Atuabo
539,Elizabeth City,US,53.04,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
542,Los Llanos De Aridane,ES,67.75,scattered clouds,28.6585,-17.9182,Valle Aridane
