City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Yellowknife,CA,62.456,-114.3525,21.72,86,75,4.61,light snow
79,Quatre Cocos,MU,-20.2078,57.7625,69.1,72,13,5.73,few clouds
80,Pevek,RU,69.7008,170.3133,-22.04,100,59,4.9,broken clouds
81,Zhanaozen,KZ,43.3,52.8,47.25,61,83,6.49,broken clouds
82,Nanortalik,GL,60.1432,-45.2371,26.87,90,100,7.74,overcast clouds
83,Taltal,CL,-25.4,-70.4833,65.59,75,45,5.17,scattered clouds
84,Narsaq,GL,60.9167,-46.05,21.42,87,98,1.88,overcast clouds
85,Miura,JP,35.14,139.6192,53.58,56,0,7.9,clear sky
86,Dunedin,NZ,-45.8742,170.5036,52.81,94,100,1.99,overcast clouds
87,San Cristobal,VE,7.7669,-72.225,73.58,71,48,5.23,scattered clouds
88,Matveyevka,RU,52.15,56.1833,29.35,81,100,8.97,overcast clouds
89,Harper,LR,4.375,-7.7169,78.8,79,1,5.12,clear sky
90,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.89,62,0,17.27,clear sky
91,Saint-Philippe,RE,-21.3585,55.7679,71.19,70,14,5.55,few clouds
92,Sosnovo-Ozerskoye,RU,52.5249,111.5418,12.24,74,100,7.76,overcast clouds
93,Tessalit,ML,20.1986,1.0114,74.41,12,10,9.19,clear sky
94,Show Low,US,34.2542,-110.0298,50.61,28,0,10.36,clear sky
95,Westerland,DE,54.9079,8.3033,39.22,87,75,19.57,broken clouds
96,Luderitz,NA,-26.6481,15.1594,65.28,54,100,20.65,overcast clouds
97,Longyearbyen,SJ,78.2186,15.6401,40.84,81,75,23.02,light intensity drizzle rain
98,Klaksvik,FO,62.2266,-6.589,47.32,86,85,32.77,overcast clouds
99,Araouane,ML,18.9048,-3.5265,76.62,13,90,5.82,overcast clouds
100,Vostok,RU,46.4856,135.8833,19.71,97,100,2.73,overcast clouds
101,Homer,US,59.6425,-151.5483,35.8,91,0,5.99,clear sky
102,Georgetown,MY,5.4112,100.3354,80.89,90,20,3.44,few clouds
103,Novobirilyussy,RU,56.9514,90.6661,10.8,97,95,3.74,overcast clouds
104,Kharp,RU,66.8014,65.8081,-0.11,90,35,7.92,scattered clouds
105,Leh,IN,34.1667,77.5833,21.16,54,96,1.32,overcast clouds
106,Dikson,RU,73.5069,80.5464,-5.15,93,100,25.46,overcast clouds
107,Fengzhen,CN,40.4394,113.1536,36.72,70,0,8.14,clear sky
108,Arlit,NE,18.7369,7.3853,76.6,12,11,6.6,few clouds
109,Anadyr,RU,64.75,177.4833,-7.01,83,20,8.95,few clouds
110,Kamaishi,JP,39.2667,141.8833,45.82,78,5,7.76,clear sky
111,Narasannapeta,IN,18.4167,84.05,68.47,62,100,6.4,overcast clouds
112,Lebu,CL,-37.6167,-73.65,61.65,80,13,11.83,few clouds
113,Hithadhoo,MV,-0.6,73.0833,81.14,79,76,12.59,broken clouds
114,Hasaki,JP,35.7333,140.8333,47.21,77,5,8.37,clear sky
115,Nuevo Progreso,MX,23.1667,-97.95,68.47,71,100,5.99,overcast clouds
116,Cherskiy,RU,68.75,161.3,-36.76,100,37,4.9,scattered clouds
117,Mezhdurechensk,RU,53.6942,88.0603,17.62,97,100,2.39,light snow
118,Boa Vista,BR,2.8197,-60.6733,93.18,43,20,4.61,few clouds
119,Saint George,US,37.1041,-113.5841,52.25,35,0,6.91,clear sky
120,Airai,TL,-8.9266,125.4092,61.93,94,98,0.45,overcast clouds
121,Dukat,RU,62.55,155.55,-26.37,89,12,5.08,few clouds
122,Kodiak,US,57.79,-152.4072,38.71,87,0,5.75,clear sky
123,Pak Phanang,TH,8.3511,100.202,77.86,84,99,3.69,overcast clouds
124,Korla,CN,41.7597,86.1469,35.44,34,38,5.59,scattered clouds
125,Zyryanovsk,KZ,49.7386,84.2719,-3.1,96,9,2.37,clear sky
126,Olga,RU,43.7444,135.2892,30.58,80,16,7.65,few clouds
127,Goedereede,NL,51.8175,3.9806,51.01,91,100,13.98,overcast clouds
128,Mersing,MY,2.4312,103.8405,78.71,94,40,3.44,scattered clouds
129,Coihaique,CL,-45.5752,-72.0662,58.95,44,20,12.66,few clouds
130,Kedrovyy,RU,56.1667,91.8167,9.01,97,96,3.38,overcast clouds
131,Ures,MX,29.4333,-110.4,74.21,25,0,6.6,clear sky
132,Pimentel,PE,-6.8367,-79.9342,75.49,57,0,18.41,clear sky
133,Udachnyy,RU,66.4167,112.4,-6.56,83,100,10.22,overcast clouds
134,Paracuru,BR,-3.41,-39.0306,81.1,67,15,13.71,few clouds
135,Krutaya Gorka,RU,55.3649,73.2231,1.08,97,41,6.67,scattered clouds
136,Ponta Do Sol,PT,32.6667,-17.1,66.83,64,8,9.69,clear sky
137,Kattivakkam,IN,13.2167,80.3167,77.09,73,60,11.21,broken clouds
138,Qaqortoq,GL,60.7167,-46.0333,16.56,87,98,4.38,overcast clouds
139,Axim,GH,4.8699,-2.2405,78.51,82,5,7.94,clear sky
140,Bathsheba,BB,13.2167,-59.5167,86.61,70,40,19.57,scattered clouds
141,Takoradi,GH,4.8845,-1.7554,79.23,80,5,7.16,clear sky
